Col1	Col2	Col3	Col4	Col5	Col6	Col7	Col8	Col9	Col10
Geneset1	0.197528266168432	0.893049846868496	0.0866167195679154	0.350852430752944	0.37719978510146	0.704600979765877	0.0552371186250821	0.0697901128414087	0.587508496513823	0.270497479734942
Geneset2	0.742588092904538	0.508328611767152	0.986578398278449	0.869310726966709	0.590853542380501	0.650372696382226	0.534789579846663	0.0941759366451297	0.197047111992259	0.17803593902057
Geneset3	0.518476861527422	0.367155506319134	0.955380285521736	0.387603369509336	0.44167324226466	0.0953359135910869	0.50624351584143	0.466701626156224	0.368292292135768	0.221850162680028
Geneset4	0.351203047051793	0.731259018531302	0.809146616606275	0.302905982822645	0.570527074117679	0.162156195139512	0.745731886266731	0.862685133476509	0.199563304669689	0.767016959654633
Geneset5	0.697922782992944	0.789534036433091	0.494580206426093	0.863485194957582	0.0583960030802991	0.607376529546222	0.927489538736176	0.685493337723892	0.276470907946816	0.110947300545173
Geneset6	0.707128870310728	0.508624557516305	0.852064720693044	0.148502071843483	0.201188123915344	0.849184083167929	0.0729108567072544	0.1097520468242	0.630258330240147	0.166785827572457
Geneset7	0.50407568592974	0.0640222351755947	0.643972153050825	0.126743372701807	0.433332253583474	0.44128795019188	0.780962657963624	0.947036923770094	0.94543138958863	0.0932606287871022
Geneset8	0.244145499003818	0.432782388853608	0.566144629232353	0.0615163112203591	0.74744214289845	0.778153978607617	0.915673742088489	0.809642775702523	0.68081316618179	0.625735196083086
Geneset9	0.524662333085667	0.34465033797943	0.152430725557497	0.0739510514857247	0.687841019640444	0.146818230756093	0.964897947268328	0.440939520476386	0.175939637297066	0.19234413687815
Geneset10	0.175661633639829	0.719695558817359	0.174701993776485	0.860280751968734	0.729168674672954	0.104172951332293	0.569508684630739	0.981534010578413	0.363295349494088	0.402775224705692
