C1,C2,C3,C4,C5,T6,T7,T8,T9,T10
U30246_at,100.689975969336,100.240732107297,102.537050469995,99.5532818186877,98.9034275953735,201.788293398302,198.748168715984,198.794245193588,200.376470415606,200.615518621622
U33267_at,99.5856771233842,98.1463364448573,100.366787845177,99.444540442017,99.4518051919485,201.190429101862,200.471690423898,199.834980778034,201.540659297959,200.530042172282
X15376_at,98.6648486984192,101.437689702883,100.322902825359,100.551479060679,99.6044112690233,199.495508400119,198.667313246691,198.540950784526,201.130382524504,202.637523242897
Z30643_at,97.4537999780316,99.1681503801994,97.9725352062582,99.4790282637364,101.369233031809,200.236632937428,201.87731958599,201.135756811624,199.575462206769,199.551033462875
X14766_at,99.4395077834097,99.2039410379528,99.1990827519479,101.065760362506,99.6921196062486,198.026587508513,200.037134242569,200.802074053871,200.355930691312,199.723145471043
X52009_s_at,100.682546974934,100.304833112756,100.210309136949,100.602331463221,100.157956957321,200.803084319232,199.138616134627,199.716149110485,198.816062513024,199.105288962612
X52008_at,100.676966632395,99.6273172570541,102.755288653628,99.9407224126035,99.6510395031581,200.557342271447,198.699917891046,199.270497172617,199.761141986554,200.615493996939
L02785_at,100.248914664714,99.4247870262722,100.840434522791,99.8110330306706,100.231112036765,198.462821836182,197.759451975817,199.567277915794,201.000172182484,198.95628275371
L13258_at,99.6769773030156,101.285142901222,100.04683867888,101.964282723205,100.257186766222,200.612850994108,199.924948882036,200.265760748251,199.591175249793,200.01259097334
X91220_at,99.3928242854792,98.480476017255,100.364111067729,100.516083006372,99.0059745966202,200.010302336427,200.670409194646,198.881845988471,198.912600828806,201.175668517974
U62317_rna3_at,98.9048050477369,101.002432573326,100.834448384982,98.4929320749091,98.301978470948,100.42315947414,100.046658856181,100.190984997381,100.744922571923,100.808384743344
M12625_at,99.6818154757894,99.3595693248787,100.5049109991,100.099764457151,99.8937806028464,100.14431646777,100.546372370851,99.6704055803394,101.346322004449,101.105668801695
L25931_s_at,100.800258878187,100.30272437102,99.0388116854478,99.7187047708872,99.0391061102172,99.4370524910318,100.05157228135,99.0220012530637,100.728872790126,98.4142397788235
X66922_at,98.5172618887711,99.9854649614787,98.9857691308802,99.0841501911238,99.68924186725,99.2271088392887,98.6192557143038,99.4771397885968,100.870649902706,100.780010451452
X69141_at,98.9134487006176,99.6379195234581,101.461005172624,99.9342618497454,96.3487667079891,100.917705832133,100.459375793423,99.3926816171938,98.8119891793083,100.382134954458
Z47055_s_at,98.4642174978532,99.4142405785185,98.858296576302,101.583219141217,99.5280002876634,98.5318532960054,99.3204661535624,100.683269717658,99.5678308173566,99.3435437268896
J02758_s_at,99.1499304498419,98.9630499354949,99.5188302602996,100.301638514116,99.2869175846494,100.212279878637,99.5507603769686,100.153487303643,102.25655890128,99.2733847940013
X17025_at,99.7174294894384,101.126665650573,100.07209450833,99.0916949465202,99.111522229397,99.1545645426619,100.590420890268,99.5236560547292,101.734792132131,99.0900984104942
D10704_at,100.080451715048,100.29764282228,101.212952981749,99.7063417118808,99.5516633252369,100.491632340303,99.9765182120593,100.179554695808,99.9303180941619,100.484389163835
X83618_at,100.050629382259,101.098117900122,99.6701492222873,100.079115265178,100.61935043793,98.6430568750929,98.9589167568041,100.136689036959,98.6951753682533,101.20455852594
D16154_at,99.6518886956344,98.6931447295921,100.417767089428,99.7825827129926,97.630396320622,100.358188150237,101.19477379093,99.669863419341,99.8349878711802,100.467367675439
M37238_s_at,101.07315752154,100.885023719221,100.02898039364,99.7480750318447,100.671944094414,99.9698520245336,100.464610183687,99.657337899011,100.387266342941,99.9894879926546
D10202_at,100.686069565912,101.436595785457,99.210482799676,101.949252475524,98.99820762853,99.0860442739602,99.8291127901347,100.578482316956,100.302321441599,100.97950350008
L25798_at,101.749492134977,99.138494342198,100.321770067714,100.460455376252,99.3296728426781,100.342573232555,100.646951136928,99.3675120030025,98.7277067654679,100.333585081073
D87436_at,98.9649978084784,99.0269249426799,100.578533432151,98.5897182154616,100.613190444868,99.2559294522197,99.3570069595858,99.3149604611913,98.4220985481946,101.196887022335
M37400_at,101.530738136928,98.6792844877987,100.203382044787,100.071173862397,100.130153603295,101.367299205918,99.1954614843697,97.9317816120542,98.9697383576506,101.008853675129
X64330_at,100.117871953285,101.129568832451,102.188857725916,100.618386316303,102.930958132652,99.8978720005502,101.210510482291,100.537510455446,100.496328958787,98.4617703993233
M94856_at,101.652224816697,100.453518062982,100.829914708593,97.9956299765766,99.8664720829539,99.7332278214039,100.727237737524,99.3667905409433,100.318131048812,99.6242608397627
D17793_at,99.881059729438,99.7567645953893,100.12718796481,98.5391630848395,99.8013268565623,100.629439744951,99.0811767855938,100.079315995568,98.6975624655547,101.251594982269
U60205_at,100.665883241378,100.320928297425,101.092159297253,99.8381090856399,97.5937764879027,101.30284259289,102.408618460405,97.9478162324839,99.1927155675807,99.5867054767437
L25876_at,99.7197087019757,98.4212453638291,101.26967193193,100.838654278827,99.0253584311658,98.8644109365394,100.855764108572,99.0053847222039,99.2198802340036,100.894675840631
K03218_at,98.5658251357568,99.3491913988775,100.514913664602,98.7737812688515,99.5029391525835,101.714321057967,98.7262331275319,99.8437921361203,99.7966092557922,99.0099089361645
U93237_rna2_at,100.197924643745,100.594782084664,101.039244057173,100.044762677471,100.167302084728,99.870239211514,99.5372167263251,100.305250597226,100.103242509827,101.140153976665
